time,x,y,z
0,-1833513.042290741,-6484030.046380654,4.673991565105185e-10
20.0,-1709362.88674865,-6517312.105724793,-88330.85690026528
40.0,-1584321.2009788328,-6547198.157215103,-176614.93849626018
60.0,-1458454.612181605,-6573671.692116883,-264807.98234373535
80.0,-1331828.0875149732,-6596721.067717908,-352863.3115083257
100.0,-1204507.2946037643,-6616334.204948938,-440734.06447158946
120.0,-1076560.6787955938,-6632500.666211581,-528375.2896107468
140.0,-948052.0539742192,-6645214.201129759,-615741.910977375
160.0,-819050.5353550054,-6654468.396160197,-702787.0705781406
180.0,-689621.8083903051,-6660259.88710787,-789467.1888822627
200.0,-559835.326839867,-6662586.290478208,-875737.3857340913
220.0,-429757.6086570139,-6661448.510243245,-961551.1417600397
240.0,-299456.44670957123,-6656847.994197198,-1046865.0742812067
260.0,-168999.86642816284,-6648790.427409845,-1131634.844439371
280.0,-38455.65016930566,-6637279.275234226,-1215818.2716749075
300.0,92109.59333765466,-6622324.867541082,-1299369.5810071335
320.0,222625.8807473773,-6603936.509152858,-1382247.8566139173
340.0,353027.424057055,-6582125.884968633,-1464409.9917253011
360.0,483246.2693215116,-6556905.838764666,-1545813.618117145
380.0,613214.4685280002,-6528292.521657777,-1626417.5930579947
400.0,742865.3023575714,-6496304.481616313,-1706180.1043568924
420.0,872133.4431359506,-6460958.631789447,-1785060.261812415
440.0,1000950.7161488676,-6422278.91200419,-1863019.1747414425
460.0,1129251.2365213772,-6380286.54872568,-1940018.682605755
480.0,1256971.7717759185,-6335006.37131756,-2016017.4308876055
500.0,1384043.5180540243,-6286464.686427047,-2090978.9033935182
520.0,1510404.304995324,-6234691.338849933,-2164864.738618298
540.0,1635989.0874340362,-6179713.615049916,-2237638.099607672
560.0,1760733.9736835968,-6121566.310608659,-2309263.678751952
580.0,1884576.3360418065,-6060280.021517142,-2379706.744252835
600.0,2007454.614501122,-5995891.015939681,-2448929.5332629075
620.0,2129305.3318803315,-5928436.130930725,-2516900.8303464563
640.0,2250068.6321706865,-5857952.439359504,-2583586.5547716403
660.0,2369684.4168564817,-5784481.30630119,-2648954.4160168134
680.0,2488093.357378166,-5708062.569224144,-2712971.6853680033
700.0,2605235.7117257025,-5628739.582231323,-2775609.3214038373
720.0,2721054.088105039,-5546556.326548385,-2836836.6151159476
740.0,2835492.488794567,-5461558.548489876,-2896624.975653308
760.0,2948492.856064768,-5373793.075758039,-2954944.2387279416
780.0,3060001.4916490554,-5283307.885281659,-3011768.747044542
800.0,3169964.0355214463,-5190153.475891244,-3067071.230518687
